,,,,
05/21/16,,How To Let Go Of The World And Love All The Things Climate Can't Change,Varsity Theater,"4329 University Way NE, Seattle, WA 98105"
,,,,
,,,,
05/21/16,,Two-Day Charity Wedding Dress Sale!,Motif Seattle,"1415 5th Ave, Seattle, WA 98101"
,,,,
,,,,
,,,,
05/21/16,,Open Call for Performance/Live Art,SOIL artist Run Gallery,"112 3rd Ave S Seattle, WA 98104"
,,,,
,,,,
05/21/16,,"Vote Week for Youth Voice, Youth Choice",Everywhere and Online,"Seattle, WA"
,,,,
05/21/16,01:00:00 AM,Living Small: Ideas for Living in the City,Center for Architecture and Design,"1010 Western Ave Seattle, WA 98104"
,,,,
,,,,
05/21/16,05:00:00 AM,Self-Transcendence 7 & 13 Hour Ultra Run,"Waterfront & Race Course, Magnuson Park","1010 Western Ave Seattle, WA 98104"
05/21/16,08:00:00 AM,Dragon Boating,South Lake Union,
,,,,
,,,,
05/21/16,08:00:00 AM,CFC Banquet 2016,"Hangar 30, Magnuson Park",
05/21/16,08:30:00 AM,Aviation Day 5K,Historic Flight Foundation,"10719 Bernie Webber Dr Mukilteo, WA 98275"
,,,,
,,,,
05/21/16,08:30:00 AM,Paine Field Aviation Day,Historic Flight Foundation,"10719 Bernie Webber Dr Mukilteo, WA 98275"
,,,,
,,,,
05/21/16,09:00:00 AM,Quiet Water: Watershed Wetlands Tour,Cedar River Watershed Education Center,"17905 Cedar Falls Rd SE North Bend, WA 98045"
,,,,
,,,,
05/21/16,09:00:00 AM,Youth Marijuana Prevention Summit,El Centro de la Raza,"2524 16th Ave S Seattle, WA 98144"
,,,,
,,,,
05/21/16,09:00:00 AM,Carkeek S.T.A.R.S. work party,"950 NW Carkeek Park Rd, Seattle, WA 98177",
05/21/16,09:00:00 AM,"Deadhorse Canyon 3rd Saturday, May 21","10101 Cornell Ave S, Seattle, WA 98178",
05/21/16,09:00:00 AM,East Duwamish Nature Trail Work Party,"9000 37th Ave S, Seattle, WA 98118",
05/21/16,09:00:00 AM,Even More Mulching!,Please refer to the below link for address information.,
05/21/16,09:00:00 AM,Give Native Plants a Chance at Green Lake!,,
05/21/16,09:00:00 AM,Revive Forest Habitat,"4503 Beach Dr SW Seattle, WA 98116",
05/21/16,09:30:00 AM,Spring Family Nature Classes,Washington Park Arboretum,"2300 Arboretum Dr E Seattle, WA 98112"
,,,,
,,,,
05/21/16,09:30:00 AM,Genesee Forest Rescue,"3800 45th Ave S, Seattle, WA 98118",
05/21/16,09:45:00 AM,Beacon Food Forest Work Party,Beacon Food Forest,"S Dakota St & 16th Ave S Seattle, WA 98108"
,,,,
,,,,
05/21/16,10:00:00 AM,Bastyr University Herb and Food Fair,Bastyr University,"14500 Juanita Dr NE Kenmore, WA 98028"
,,,,
,,,,
05/21/16,10:00:00 AM,Camp Long Restoration Event,"5200 35th Avenue SW Seattle, WA 98126-2804",
05/21/16,10:00:00 AM,Forest Remnant Zone Ecological Restoration,"7400 Sand Point Way NE, Seattle, WA 98115",
05/21/16,10:00:00 AM,Forest Restoration at Longfellow Creek,"SW Brandon St. & 26th Ave SW, Seattle, WA 98126",
05/21/16,10:00:00 AM,Get Global Youth Conference,University of Washington Ethnic Cultural Centeru,"3931 Brooklyn Ave NE Seattle, WA 98105"
,,,,
,,,,
05/21/16,10:00:00 AM,Learn to Play Guitar in a Day! workshop,UW Seattle,"Seattle, WA"
,,,,
05/21/16,10:00:00 AM,Paine Field Aviation Day at FHC!,Flying Heritage Collection,"3407 109th St SW Everett, WA 98204"
,,,,
,,,,
05/21/16,10:00:00 AM,SJCC Day of Service w/Nature Consortium,Camp Long,"34th Ave SW Seattle, WA 98126"
,,,,
,,,,
05/21/16,10:00:00 AM,Vegetarian Tamale Making Class at El Centro de la Raza,El Centro de la Raza,"2524 16th Ave S Seattle, WA 98144"
,,,,
,,,,
05/21/16,10:00:00 AM,West Seattle Bee Festival,High Point Commons Park,"6400 Sylvan Way SW Seattle, WA 98126"
,,,,
,,,,
05/21/16,10:00:00 AM,Keys to the Kingdom: Sea Stars and Our Coastal Environment,Klondike Gold Rush National Historical Park,"319 2nd Ave S Seattle, WA 98104"
,,,,
,,,,
05/21/16,10:00:00 AM,Jackson Park Trail – Restore Natural Areas,"13200 10th Ave NE, Seattle, WA 98125",
05/21/16,10:00:00 AM,Magnuson Reforestation,"7400 Sand Point Way NE, Seattle, WA 98115",
05/21/16,10:00:00 AM,Nantes Park Work Party,Nantes Park,"5062 SW Admiral Way Seattle, WA 98116"
,,,,
,,,,
05/21/16,10:00:00 AM,Northacres Forest Restoration,"12718 1st Ave NE, Seattle, WA 98125",
05/21/16,10:00:00 AM,Ravenna Ravine Monthly Work Party,"2000 Northeast 58th Street, Seattle, WA 98105",
05/21/16,10:00:00 AM,Get Global Youth Conferencec,University of Washington Ethnic Cultural Center,"3931 Brooklyn Ave NE Seattle, WA 98105"
,,,,
,,,,
05/21/16,11:00:00 AM,Family STEM Day,LeMay - America's Car Museum,"2702 E D St Tacoma, WA 98421"
,,,,
,,,,
05/21/16,11:00:00 AM,Family STEM Day - Science to Go!,LeMay - America's Car Museum,"2702 E D St Tacoma, WA 98421"
,,,,
,,,,
05/21/16,11:00:00 AM,"The Outlet Collection® | Seattle to Kick-off KidX Club Event Series with “X Marks the Spot” on Saturday, May 21",The Outlet Collection | Seattle,"1101 Outlet Collection Way Auburn, WA 98001"
,,,,
,,,,
05/21/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,"2300 S Massachusetts St Seattle, WA 98144"
,,,,
,,,,
05/21/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,"2300 S Massachusetts St Seattle, WA 98144"
,,,,
,,,,
05/21/16,11:30:00 AM,The FriendShop is coming to SPL's West Seattle Branch!,Seattle Public Library - West Seattle Branch,"2306 42nd Ave SW Seattle, WA 98116"
,,,,
,,,,
05/21/16,12:00:00 PM,Afro Latin Jazz and Soul Experience with SEKOU - May at SCT!,Salsa con Todo,"211 N 36th St Seattle, WA 98103"
,,,,
,,,,
05/21/16,12:00:00 PM,Afro Latin Jazz and Soul Experience with SEKOU - May at SCT!,Salsa con Todo,"211 N 36th St Seattle, WA 98103"
,,,,
,,,,
05/21/16,12:00:00 PM,Steve Martini signs Blood Flag,Seattle Mystery Bookshop,"117 Cherry St Seattle, WA 98104"
,,,,
,,,,
05/21/16,12:00:00 PM,Center on Contemporary Art Releases New Pop-Up (AR)t Book,CoCA @ Rubix,"515 Harvard Ave E Seattle, WA 98102"
,,,,
,,,,
05/21/16,12:30:00 PM,SIFF 2016 Forum - Getting it Done: Taking Documentaries from Seed to Completion,SIFF Film Center,"305 Harrison St Seattle, WA 98109"
,,,,
,,,,
05/21/16,01:00:00 PM,Battle of the Best: 3rd Grade Basketball Playoff!,Cleveland High School,"5511 15th Ave. S. Seattle, WA 98108"
,,,,
05/21/16,01:00:00 PM,JuarezX: Dragged Across Borders,CoCA PS35,"106 Cherry St Seattle, WA 98104"
,,,,
,,,,
,,,,
05/21/16,01:00:00 PM,Sky's the Limit: LuMind Awards Gala,"Officers Club, Magnuson Park","211 N 36th St Seattle, WA 98103"
05/21/16,01:30:00 PM,Afro Latin Jazz and Soul Experience with SEKOU - May at SCT!,Salsa con Todo,
,,,,
,,,,
05/21/16,02:00:00 PM,Shabbat Unplugged,Stroum Jewish Community Center,"3801 E Mercer Way Mercer Island, WA 98040"
,,,,
,,,,
05/21/16,02:00:00 PM,SIFF 2016 Forum: Masterclass with James Schamus,SIFF Film Center,"305 Harrison St Seattle, WA 98109"
,,,,
,,,,
05/21/16,02:00:00 PM,The Realization of Emily Linder,Taproot Theatre Company,"204 N 85th St Seattle, WA 98103"
,,,,
,,,,
05/21/16,02:00:00 PM,Lawton Park spring clean,"3800 Williams Ave W, Seattle, WA 98199",
