05/23/16,,How To Let Go Of The World And Love All The Things Climate Can't Change,Varsity Theater,4329 University Way NE
,,,,"Seattle, WA 98105"
,,,,
05/23/16,,Library Book Sale - North Seattle College,North Seattle College Library,9600 College Way N
,,,,"Seattle, WA 98103"
,,,,
05/23/16,,Open Call for Performance/Live Art,SOIL artist Run Gallery,112 3rd Ave S
,,,,"Seattle, WA 98104"
,,,,
05/23/16,,"Vote Week for Youth Voice, Youth Choice",Everywhere and Online,"Seattle, WA"
,,,,
05/23/16,08:30:00 AM,Mulching to Georgia,Please refer to the below link for address information.,
,,,,
05/23/16,09:30:00 AM,Council Briefing,Council Chambers,"Seattle City Hall, Floor 2"
,,,,600 Fourth Avenue
,,,,Seattle
,,,,
05/23/16,10:00:00 AM,Keys to the Kingdom: Sea Stars and Our Coastal Environment,Klondike Gold Rush National Historical Park,319 2nd Ave S
,,,,"Seattle, WA 98104"
,,,,
05/23/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,2300 S Massachusetts St
,,,,"Seattle, WA 98144"
,,,,
05/23/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,2300 S Massachusetts St
,,,,"Seattle, WA 98144"
,,,,
05/23/16,02:00:00 PM,Full Council,Council Chambers,"Seattle City Hall, Floor 2"
,,,,600 Fourth Avenue
,,,,Seattle
,,,,
,,,,
05/23/16,06:00:00 PM," ""Help! I'm Going Vegan."" workshop Capitol Hill Branch of The Seattle Public Library",425 Harvard Ave E,1318 E Union St
,,,,
05/23/16,06:00:00 PM,Brothers Do Ramen,Zoe Events,"Seattle, WA 98122"
,,,,
,,,,"950 Westlake Ave. N., "
05/23/16,06:00:00 PM,Dragon Boating,South Lake Union,Seattle. 98109
,,,,
,,,,600 4th Ave
05/23/16,06:00:00 PM,Expansion Area Urban Village Focus Group (Focus Group 1),Seattle City Hall,"Seattle, WA 98104"
,,,,Room 370
,,,,
,,,,600 4th Ave
05/23/16,06:00:00 PM,Lower Density Urban Village Focus Group (Focus Group 4),Seattle City Hall,"Seattle, WA 98104"
,,,,Room L280
,,,,
,,,,15436 Bel-Red Rd
05/23/16,06:30:00 PM,Cultivating Compassionate Balance 8-week Series,Dream Clinic - Redmond,"Redmond, WA 98007"
,,,,
,,,,810 Virginia St
05/23/16,06:30:00 PM,City Neighborhood Council,West Precinct Community Room,Seattle WA
,,,,
,,,,5031 University Way NE
05/23/16,06:30:00 PM,Design Review- 4609 Union Bay Pl NE,University Heights Comm Ctr,Room 209
,,,,
,,,,4326 University Way NE
05/23/16,07:00:00 PM,Brasil with Photographer Kristin Capp,University Book Store,"Seattle, WA 98105"
,,,,
,,,,5031 University Way NE
05/23/16,08:00:00 PM,Design Review- 4510 11th Ave NE,University Heights Community Center,Room 109
,,,,
05/24/16,,How To Let Go Of The World And Love All The Things Climate Can't Change,Varsity Theater,4329 University Way NE
,,,,"Seattle, WA 98105"
05/24/16,,Library Book Sale - North Seattle College,North Seattle College Library,9600 College Way N
,,,,"Seattle, WA 98103"
,,,,
05/24/16,,"Vote Week for Youth Voice, Youth Choice",Everywhere and Online,"Seattle, WA"
,,,,
05/24/16,08:30:00 AM,Help keep the trail invasive free,Please refer to the below link for address information.,
,,,,
05/24/16,09:30:00 AM,"Civil Rights, Utilities, Economic Development & Arts",Council Chambers,"Seattle City Hall, Floor 2"
,,,,600 Fourth Avenue
,,,,Seattle
,,,,
05/24/16,10:00:00 AM,Keys to the Kingdom: Sea Stars and Our Coastal Environment,Klondike Gold Rush National Historical Park,319 2nd Ave S
,,,,"Seattle, WA 98104"
,,,,
05/24/16,10:00:00 AM,Living Small: Ideas for Living in the City,Center for Architecture and Design,1010 Western Ave
,,,,"Seattle, WA 98104"
,,,,
05/24/16,10:00:00 AM,Sturtevant Ravine Work Party,"Sturtevant Ave S, Seattle, WA 98118",
,,,,
05/24/16,10:00:00 AM,Tuesdays in the Garden” Kubota Garden Work Party,9817 – 55th Ave South (55th Ave S. and Renton Ave S.),
,,,,
05/24/16,10:00:00 AM,West Duwamish GS: Pigeon Point,"4500 21st Ave SW, Seattle, WA 98106",
,,,,
05/24/16,10:00:00 AM,West Duwamish GS: Pigeon Point,"4500 21st Ave SW, Seattle, WA 98106",
,,,,
05/24/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,2300 S Massachusetts St
,,,,"Seattle, WA 98144"
,,,,
05/24/16,11:00:00 AM,Posing Beauty in African American Culture,Northwest African American Museum,2300 S Massachusetts St
,,,,"Seattle, WA 98144"
,,,,
05/24/16,02:00:00 PM,Energy & Environment,Council Chambers,"Seattle City Hall, Floor 2"
,,,,600 Fourth Avenue
,,,,Seattle
,,,,
05/24/16,04:30:00 PM,International Special Review District Board Meeting,Bush Hotel,409 Maynard Ave. S.
,,,,"IDEA Space, Lower Level"
,,,,"Seattle, WA"
,,,,
05/24/16,06:00:00 PM,Chinatown-ID Neighborhood Block Watch,IDEA Space (next to Hing Hay Park),409 Maynard Ave S
,,,,"Seattle, WA 98104"
,,,,
05/24/16,06:00:00 PM,Seattle Children's Standing Advisory Committee (SAC) Meeting,Seattle Children's Hospital,4800 Sand Point Way NE
,,,,"Seattle, WA 98105"
,,,,
05/24/16,06:00:00 PM,Hub Urban Village Focus Group (Focus Group 2),Seattle City Hall,600 4th Ave
,,,,"Seattle, WA 98104"
,,,,Room L280
,,,,
05/24/16,06:30:00 PM,Tuesdays at 21– Climate and Change in the PNW,21 Acres Center for Local Food and Sustainable Living,13701 NE 171st St
,,,,"Woodinville, WA 98072"
,,,,
05/24/16,06:30:00 PM,Tuesdays at 21– Climate and Change in the PNW,21 Acres Center for Local Food and Sustainable Living,13701 NE 171st St
,,,,"Woodinville, WA 98072"
,,,,
05/24/16,06:30:00 PM,Fauntleroy Property/Cove Park Addition,Hall at Fauntelroy - Emerald Room,9131 California Ave SW
,,,,"Seattle, WA 98136"
,,,,
05/24/16,06:30:00 PM,Design Review- 3616 34th Ave S,Rainier Valley Cultural Center,3515 S Alaska St
,,,,Lower Level
,,,,
05/24/16,07:00:00 PM,Beers for Birds Trivia,Hummingbird Saloon,5041 Rainier Ave S
,,,,"Seattle, WA 98118"
,,,,
05/24/16,07:00:00 PM,Lisa Congdon in Conversation with Tracey Conway,U District Store,4326 University Way NE
,,,,"Seattle, WA 98105"
,,,,
05/24/16,07:00:00 PM,One Click Away: Encouraging smart choices in a wired world,Wright Auditorium - Seattle Children's Hospital,4800 Sand Point Way NE
,,,,"Seattle, WA 98105"
